"[98, 43.18213992270621]","[96, 40.857374408933744]","[97, 39.341143977016124]","[9, 38.16745305841657]","[95, 36.0412693115354]","[963, 35.5030635731038]","[919, 34.49068184123399]","[969, 34.07325398526336]","[91, 34.00337106957329]","[92, 33.63820244448694]"
"[98, 31.684251945114596]","[96, 29.13345818379469]","[9, 28.223671570600537]","[97, 27.34251911034914]","[963, 26.239251917403728]","[919, 25.792345079030152]","[92, 25.59649222081072]","[91, 25.465560302446107]","[95, 25.284081075861202]","[99, 24.37375663598569]"
"[98, 16.105820360571492]","[9, 15.773761324273645]","[97, 13.852725168070815]","[96, 13.786882928612242]","[95, 13.640751927810351]","[93, 13.288594136258133]","[99, 12.61162878351911]","[919, 12.339807763395655]","[91, 12.32557629407794]","[92, 11.869871996146331]"
"[9, 23.23300829168466]","[98, 21.275616569412144]","[937, 20.429702361973888]","[902, 18.596698900366036]","[900, 18.003802512542734]","[93, 17.40790817821988]","[96, 17.157289316844867]","[95, 15.749153156551493]","[919, 15.152746828398511]","[984, 13.888336318170316]"
"[96, 39.82615733323383]","[98, 39.07486037353273]","[95, 35.22762138072362]","[92, 34.43617549075351]","[97, 33.70667334137134]","[9, 31.887880081035938]","[99, 30.853470008501866]","[919, 30.302512529829343]","[91, 29.601892741856947]","[959, 29.586504530891585]"
"[98, 56.7815025652967]","[96, 51.24381774678645]","[97, 45.24105446263652]","[95, 45.16589638788742]","[9, 44.29708579481226]","[92, 42.263206572667485]","[969, 42.01033145298577]","[91, 41.483550879731865]","[99, 38.91707050134389]","[919, 38.64158704249792]"
"[98, 28.389282475964652]","[96, 25.168178780411818]","[924, 23.150094702163383]","[95, 23.00535648177131]","[97, 21.902619296899154]","[993, 21.618040387144216]","[926, 21.31908412423534]","[9, 20.971710884853586]","[928, 20.742276713300665]","[93, 20.486766859187423]"
"[98, 28.003256271735047]","[9, 25.17890915910071]","[96, 24.27360426128428]","[97, 23.2286916126735]","[95, 22.171886061850888]","[92, 20.925167058480024]","[99, 20.36926226248931]","[924, 20.33238874335188]","[93, 20.070973412918892]","[969, 20.029866545322914]"
"[98, 24.333456797813273]","[97, 23.622442615439475]","[9, 22.616120433905923]","[96, 21.750458129266022]","[99, 20.570434866455113]","[95, 18.46696545108064]","[945, 18.402694123327972]","[923, 17.47485054822376]","[963, 16.577823336147237]","[93, 15.90113172300054]"
"[98, 28.027349421934584]","[9, 26.240220292011312]","[96, 25.0167560992051]","[97, 24.314987090455958]","[99, 23.06601471505566]","[963, 22.947389644403298]","[95, 22.270183733502627]","[919, 22.240528750832176]","[92, 21.746376869322326]","[93, 20.813097204022505]"
"[9, 31.808023255590044]","[98, 28.885147731522796]","[93, 28.004672608310983]","[919, 23.658549418538016]","[96, 23.278040735501644]","[924, 23.042365480581513]","[95, 20.03365833628797]","[928, 19.575991013051137]","[936, 19.17549239478072]","[97, 19.02482554848388]"
"[9, 18.96190755670542]","[98, 15.828917845640222]","[96, 14.372388413463042]","[93, 13.839417768637592]","[97, 13.513761412539347]","[923, 11.219704228890814]","[95, 11.022792217147282]","[900, 10.93516021424119]","[919, 10.847186353582194]","[99, 10.460608888305764]"
"[900, 20.012451702839417]","[902, 19.781826581340724]","[9, 19.18236009925397]","[937, 18.81509233255509]","[98, 16.67583685731407]","[96, 14.03625095593879]","[93, 13.23928640947356]","[919, 12.108524183097487]","[990, 11.829800971321541]","[95, 11.645899994591158]"
"[98, 47.49180347323487]","[97, 41.41253075833507]","[96, 40.993004016102496]","[99, 40.6181550500736]","[969, 39.74655399555599]","[95, 39.322092318536]","[91, 38.190420050139096]","[9, 37.68682068922261]","[963, 34.40875418045084]","[919, 33.59931594907882]"
"[98, 26.72456231717358]","[9, 23.33894773376172]","[924, 22.58093792711888]","[95, 22.516891509796928]","[96, 22.04924846170961]","[93, 20.120515003446616]","[993, 20.10082759647818]","[919, 19.05456832001573]","[97, 18.934075161918095]","[934, 17.703603442217034]"
"[9, 32.69138465663805]","[98, 31.773280447483426]","[96, 29.7819496253177]","[97, 28.348525723598634]","[963, 27.54944545380498]","[99, 27.186074448465753]","[92, 27.07199347509768]","[95, 26.876321906064103]","[93, 26.38400040985048]","[919, 25.79153847239666]"
"[98, 42.78261043848542]","[97, 39.88007115396052]","[9, 39.84374076351095]","[96, 36.43522680848327]","[99, 35.829962644357686]","[91, 34.85401287994592]","[963, 34.09747199017594]","[969, 33.743758728921264]","[945, 31.951894442305935]","[92, 31.161553166211817]"
"[98, 49.292580184105496]","[97, 47.87164559833169]","[9, 45.75599789049568]","[96, 43.829305901711145]","[99, 41.577559438292845]","[91, 40.30188778106888]","[963, 39.1872199253963]","[93, 38.86133385720242]","[969, 38.53758457575633]","[945, 37.73675284904999]"
"[9, 30.04859782850107]","[98, 28.836310305241188]","[96, 27.29594231861055]","[97, 27.169889297528268]","[99, 24.0464214162417]","[95, 23.990466685403565]","[963, 23.25321924540583]","[919, 23.221340231537045]","[91, 23.07730488992112]","[923, 23.025930573691525]"
"[98, 45.81449584769177]","[9, 41.22659241981407]","[97, 40.099402298773384]","[96, 37.96501782243967]","[95, 37.124344597199645]","[99, 36.96151005088294]","[969, 35.93682529040196]","[963, 34.25737220118253]","[91, 32.737182327395]","[92, 32.34568368566453]"
"[98, 33.09025934356868]","[9, 30.453805732450785]","[97, 28.722800279739495]","[96, 28.54963214220869]","[99, 28.53813172182849]","[95, 24.929087753823683]","[963, 24.45750957956367]","[91, 24.442364490870634]","[923, 24.195921964192483]","[919, 23.068946499497393]"
"[98, 25.65312988904133]","[9, 24.64347688874718]","[93, 24.17596705429838]","[96, 23.562005237423353]","[924, 21.457149767840182]","[993, 20.260660616040195]","[95, 19.776082875978734]","[926, 19.149621532861204]","[919, 19.081440643377288]","[97, 19.0297133520063]"
"[98, 38.42032064058511]","[9, 37.12724567417483]","[97, 36.33329774403183]","[99, 32.3884988782827]","[963, 31.83276506232142]","[96, 31.437400861877148]","[923, 31.095834169347118]","[91, 31.037135185054634]","[919, 29.669791003129042]","[945, 29.398776962915385]"
"[9, 23.53357104783944]","[902, 20.344761834805418]","[900, 19.72314754847781]","[937, 19.455380845166218]","[98, 19.27581622093424]","[96, 16.99686574836513]","[93, 15.016939043053798]","[95, 14.60595059396828]","[988, 13.604971441422382]","[97, 13.439805649627692]"
"[98, 19.900641310331306]","[9, 19.873312484277086]","[902, 18.101565022265305]","[96, 17.61638170275311]","[900, 16.1942291879544]","[93, 15.550428760695006]","[937, 15.21165486847252]","[919, 13.861386590023987]","[95, 13.503336169494215]","[97, 13.410600862052855]"
"[9, 22.841125752363393]","[98, 20.632469354844535]","[93, 20.016308395009872]","[919, 17.15927908869763]","[95, 16.257827986132195]","[96, 15.634726406976997]","[924, 15.120980067890928]","[928, 14.640011577344833]","[97, 14.244391048091076]","[936, 13.563486976782269]"
"[98, 29.055439477396114]","[9, 27.330119779692108]","[97, 24.954935338804844]","[95, 24.121912554494834]","[96, 23.887291603858003]","[99, 22.909596797104644]","[93, 22.892107503815964]","[969, 21.806537145930065]","[91, 21.352417163033873]","[92, 21.265471527578086]"
"[98, 41.22296375012878]","[9, 35.13018475982776]","[96, 35.11633064922403]","[97, 32.62091229654174]","[95, 32.553289612229555]","[92, 31.439381482936525]","[959, 30.877827540113664]","[969, 29.99180488588262]","[91, 29.353417118943206]","[963, 29.115524541033945]"
"[98, 20.449829283103355]","[96, 17.680834890329855]","[9, 17.676268290506705]","[95, 17.49628002507968]","[97, 15.523747273476634]","[924, 14.89870204967383]","[91, 14.763452664690432]","[993, 14.569456323821361]","[928, 14.428697321507054]","[919, 14.408568769079807]"
"[98, 43.09352125595139]","[96, 42.37895387683237]","[95, 35.287039971799]","[969, 35.00371135364342]","[97, 34.1284964446479]","[9, 33.68597920514929]","[92, 33.574533454752334]","[91, 33.17939496784983]","[99, 32.82057401626182]","[928, 31.14071206617176]"
"[98, 28.24934325850291]","[9, 27.561042056984046]","[96, 24.569132809548528]","[919, 23.79680974322664]","[93, 22.30237096151342]","[95, 22.01208556031232]","[97, 21.562107732754004]","[993, 19.3947416227055]","[924, 18.99240002422063]","[92, 18.463525971273405]"
"[98, 34.45701715881043]","[96, 31.994680580993226]","[97, 29.002334477694095]","[95, 28.982395053525778]","[99, 27.527055990742756]","[92, 27.110345804684265]","[91, 26.360269627630565]","[9, 26.2102764589036]","[969, 25.744667769809464]","[919, 25.421368601176866]"
"[98, 45.74299168819612]","[96, 44.55769222897764]","[95, 39.7207350805157]","[9, 38.17201910997254]","[97, 37.96251358806562]","[91, 36.00714490587823]","[92, 35.99618040949216]","[963, 35.95615211757358]","[919, 34.781153915663566]","[969, 34.21308886115221]"
"[98, 36.11523133821786]","[96, 32.6312077764436]","[919, 29.8455141786451]","[97, 28.99909658499854]","[91, 28.314654020552407]","[95, 28.287273631968297]","[93, 28.21557018032909]","[99, 27.816662818516484]","[963, 27.51681903918784]","[9, 27.28107878282151]"
"[98, 38.71570564549379]","[96, 33.98713529892622]","[924, 30.78708574804774]","[95, 30.662229141335924]","[97, 29.948768205179004]","[93, 29.47848957004785]","[919, 28.258137324881147]","[9, 27.882677521222472]","[91, 26.50875174724499]","[969, 26.08660101146508]"
"[9, 26.916241857718056]","[93, 21.003956899443605]","[98, 18.8812067272913]","[919, 18.36896685084855]","[96, 15.54460836943652]","[936, 14.167411190001832]","[95, 13.542825267750407]","[924, 13.446506336106]","[97, 12.56854792992944]","[99, 12.219062553598892]"
"[98, 33.11468398954649]","[96, 33.081547325868904]","[97, 31.20088696234457]","[9, 30.848489264815534]","[95, 30.47089653860037]","[99, 28.263225154302432]","[92, 28.063272331100837]","[963, 27.425845790578755]","[969, 27.28207232902047]","[919, 26.961767813837334]"
"[96, 38.74170978318241]","[98, 37.677149289920465]","[95, 35.12625892572073]","[969, 34.05990597314454]","[91, 33.71477067398427]","[99, 33.376634425848515]","[97, 33.33538607065725]","[9, 30.429026774920384]","[94, 29.822084246921094]","[928, 26.91495552549672]"
"[98, 31.555632155577687]","[96, 29.170597123609795]","[93, 23.629169806635204]","[95, 23.544881752138906]","[9, 23.021608110711412]","[928, 22.639505155984885]","[919, 22.5532181855605]","[97, 22.145818684270616]","[924, 21.744223047566617]","[92, 21.16748763948309]"
"[98, 44.911055221452955]","[96, 41.52836942478698]","[95, 36.452981839677044]","[97, 35.849040091425586]","[92, 33.89340016592208]","[969, 32.381320366821996]","[99, 32.00587970034785]","[9, 31.948064576948234]","[939, 31.063521256471113]","[91, 30.67713010024711]"
"[9, 25.24491009728403]","[98, 21.54434755926645]","[923, 20.095434998336724]","[93, 19.413998477592965]","[936, 18.2841615444051]","[919, 18.2335299973201]","[96, 17.889162155310114]","[97, 17.37498382933062]","[971, 16.907480600707935]","[99, 16.509805745713187]"
"[9, 27.818108459957088]","[98, 26.62172892426733]","[96, 21.74419387329775]","[937, 21.3833507057621]","[902, 19.918482719301544]","[93, 18.730519657142338]","[95, 17.64073423046412]","[984, 17.566522216325822]","[919, 17.278187312067544]","[97, 17.250216926722523]"
"[98, 28.04242427195036]","[96, 26.0357446748312]","[97, 23.947438428405057]","[95, 23.43020040139417]","[93, 22.925393914933668]","[919, 22.580472490972085]","[91, 22.43964447032509]","[9, 22.40246700048651]","[99, 21.946582201213754]","[969, 21.814665141976857]"
"[98, 17.686275890935057]","[902, 17.338868955848223]","[9, 16.902865566456196]","[937, 16.003258564341294]","[96, 15.623216934107736]","[900, 12.964677588862823]","[93, 12.530563324430288]","[984, 11.817435455381835]","[919, 11.814331258356097]","[95, 11.518899307646887]"
"[9, 21.654183645822275]","[98, 19.43185683445601]","[937, 17.252162091701024]","[96, 16.99815102811839]","[988, 16.506574468299473]","[984, 15.869982635392596]","[93, 15.264130032971718]","[924, 15.044015883869992]","[95, 14.851831173622637]","[993, 13.865486568835792]"
"[98, 42.02376033732988]","[97, 38.87687274279648]","[96, 37.60153559023243]","[9, 35.92991935663829]","[95, 35.14155857168667]","[91, 34.99330889793962]","[969, 34.80683618562276]","[99, 33.89488412098433]","[959, 31.17504037672661]","[919, 31.04807929244017]"
"[98, 40.27184867670594]","[96, 35.729442432756336]","[97, 35.41979791390266]","[99, 35.30041653754244]","[9, 34.699139510283004]","[95, 32.142290816333414]","[969, 31.599034331554364]","[91, 29.940561741154276]","[963, 29.32684221796473]","[945, 29.144065177534365]"
"[98, 30.03386698491178]","[96, 29.95460059997934]","[9, 29.184127411858135]","[919, 26.905532582798653]","[93, 26.534853057106503]","[92, 26.023520691396932]","[97, 25.7537639108904]","[99, 25.516992633215185]","[963, 25.499561137783047]","[91, 24.89465148015734]"
"[98, 35.056910370143335]","[9, 33.30978414938109]","[96, 29.169414955313822]","[93, 28.7822377481499]","[924, 28.086180138831374]","[928, 25.106941095020073]","[95, 24.82471914239119]","[919, 24.736726185784786]","[97, 22.719191638722844]","[993, 22.269788963114106]"
"[9, 37.926534267105325]","[98, 28.939312282395555]","[93, 28.094955329326844]","[924, 23.156042822375206]","[919, 22.54844143810461]","[96, 21.61867449613095]","[95, 20.081141505083494]","[97, 20.042200288250353]","[936, 18.666781536233394]","[923, 16.999683314767076]"
"[98, 49.29474891888791]","[96, 45.220705423959664]","[95, 41.03148121257424]","[97, 40.40479253606802]","[92, 39.57110262356803]","[9, 39.10837813419744]","[919, 37.51504679987425]","[91, 37.11877029112047]","[99, 36.32713186736855]","[969, 34.849010409227766]"
"[98, 51.00327776074178]","[96, 45.851214910365]","[92, 41.21830542640748]","[95, 40.95802027899541]","[9, 40.4837720939833]","[97, 39.10613806746941]","[919, 38.64604581926221]","[91, 37.759371249810265]","[99, 36.44218883891148]","[969, 36.140914575452044]"
"[98, 43.71133608789821]","[9, 40.23216781242845]","[96, 38.742601044171224]","[97, 38.49507637217279]","[92, 36.822085648870136]","[99, 36.31727123209731]","[91, 36.039588923557474]","[93, 35.27939578961711]","[969, 35.06221850341947]","[95, 34.919192384060175]"
"[98, 31.59732190529732]","[96, 28.10411817977464]","[919, 24.84848449648747]","[97, 24.759973207518556]","[93, 24.587497213111117]","[9, 24.09513701031223]","[92, 23.61280734232404]","[95, 23.45638163835934]","[91, 23.368468354428472]","[959, 22.662717848952894]"
"[98, 49.47333385958184]","[97, 47.76642205504347]","[9, 45.80923915860174]","[96, 45.32051214000474]","[99, 42.24250827165821]","[91, 41.7683645582896]","[969, 40.2639473485866]","[963, 40.07006746046502]","[92, 39.77819618123863]","[945, 38.364300877873916]"
"[98, 40.65118442302068]","[97, 35.17665735491698]","[96, 33.638203378000064]","[9, 33.05011809008225]","[99, 32.75252808826098]","[963, 30.972538348078288]","[969, 30.559939961167434]","[95, 30.329528157724813]","[91, 29.656679527701808]","[919, 28.349988138579437]"
"[902, 23.936653461115455]","[900, 23.322339170473743]","[9, 20.963350262696967]","[98, 19.42684819531256]","[96, 16.98082238506394]","[937, 15.824189654424293]","[95, 14.69012392944534]","[93, 14.525116127068818]","[99, 14.452838390975021]","[97, 14.04508504743387]"
"[98, 34.365205889770465]","[95, 27.42493714084171]","[96, 27.125122210465367]","[924, 26.305229676684156]","[97, 26.189456237051356]","[9, 25.681046045409627]","[99, 23.153503780842563]","[993, 22.88742659206846]","[93, 21.129453070476252]","[934, 20.68730276215861]"
"[98, 38.86442071806554]","[96, 38.18899394534857]","[91, 34.204130712919294]","[97, 33.30888013921768]","[95, 32.990860822720094]","[99, 32.66354337717065]","[969, 31.918865460603538]","[919, 27.970948502826094]","[9, 27.598817723253884]","[94, 26.12215195627282]"
"[98, 55.81506412006509]","[96, 49.79106366349666]","[9, 44.77890954150972]","[95, 44.45099817204541]","[97, 42.933785538350136]","[92, 41.99629016665901]","[93, 40.385697000379736]","[91, 40.18525506137897]","[919, 39.513633015403826]","[959, 38.25660306851613]"
"[9, 32.15196474746078]","[98, 31.745917258598773]","[93, 30.571541560563592]","[924, 26.17125499383249]","[96, 26.082612957444507]","[919, 26.063553745301576]","[95, 22.752148054285147]","[928, 22.10712862086608]","[97, 21.635830979214028]","[993, 21.543320051414216]"
"[9, 22.685111637670126]","[902, 21.226734341050083]","[98, 19.99398819493506]","[96, 18.497471753489965]","[937, 18.096095638879838]","[900, 18.001802363746666]","[97, 16.52256232763346]","[923, 16.242415814506604]","[93, 15.465159389740657]","[924, 14.15796036608574]"
"[98, 39.77353095209043]","[96, 36.71055395211486]","[9, 35.15625060338153]","[97, 33.40765105039034]","[92, 31.764089343198222]","[99, 31.693303584436343]","[919, 31.386071663791387]","[95, 30.926243261742357]","[969, 30.409572645462234]","[963, 29.537343920362026]"
"[98, 47.20483284439596]","[96, 43.691621707958056]","[97, 39.023772146851975]","[95, 37.364746973642916]","[9, 36.796568086670696]","[969, 35.737296330406174]","[91, 35.66445472174033]","[99, 35.60520696293364]","[92, 35.30359877186157]","[959, 33.296872380359815]"
"[9, 25.731353594742238]","[937, 24.363222331541518]","[98, 24.085569313305054]","[902, 22.458597228959967]","[96, 21.8372698290905]","[988, 20.79501082953352]","[984, 19.032876866150644]","[93, 18.723300451525418]","[900, 18.2525429434373]","[924, 17.337983631489195]"
"[9, 18.957512123062898]","[98, 17.793435679773253]","[93, 15.842086401390018]","[902, 15.634688227098469]","[96, 15.532181053443827]","[919, 14.747149324460644]","[900, 13.977408281536954]","[937, 13.724069861512572]","[95, 12.557521902447409]","[97, 11.638913367530312]"
"[98, 29.51306998757228]","[96, 26.60211564417665]","[97, 24.592541969671515]","[95, 24.275795154091714]","[91, 24.22956959113825]","[969, 24.16193135362635]","[99, 23.91956240029168]","[919, 23.73175823135491]","[9, 21.963938968078956]","[90, 21.785894700812108]"
"[900, 25.868503743445622]","[902, 24.962400638719455]","[9, 23.400241026178723]","[937, 22.375190772916543]","[96, 19.38506952319328]","[98, 18.668810824868356]","[93, 16.909371324877434]","[95, 16.00910800952437]","[919, 15.627364910444909]","[97, 14.638191917769442]"
"[98, 28.806083652812404]","[9, 26.494498353343587]","[96, 21.959651568602286]","[97, 20.70231507854012]","[93, 19.6708990375352]","[99, 19.298968603603942]","[923, 19.253575970672152]","[963, 19.159892518290484]","[919, 18.736435546792567]","[92, 18.643287425998743]"
"[98, 40.92189912458892]","[96, 36.04286069524205]","[9, 34.74129993484854]","[91, 32.74630820154251]","[95, 32.65672637836029]","[97, 32.425623508636384]","[919, 31.503095104605592]","[969, 31.322614952982875]","[92, 30.496245198274615]","[959, 30.160827648711567]"
"[98, 29.486126049729634]","[96, 26.079309769952285]","[95, 24.816234369127756]","[9, 24.781531620904126]","[919, 22.944729535487692]","[93, 22.858588893347303]","[97, 22.748323093167308]","[924, 21.611491362057727]","[92, 21.466267420671752]","[993, 21.19278906086371]"
"[98, 34.66621695621495]","[9, 31.452860709343888]","[97, 30.269501763100436]","[96, 28.10550709380705]","[99, 27.650137829812586]","[963, 27.46651642138661]","[91, 26.50045083439053]","[92, 25.267807845145583]","[923, 25.160332995428845]","[919, 24.875305025318276]"
"[98, 23.75883657433865]","[9, 21.4063497587979]","[95, 21.389018721935827]","[96, 20.85240326480753]","[919, 19.833575247648195]","[93, 19.511879306966293]","[924, 18.800448505111948]","[91, 18.330798224839654]","[993, 18.257621324691062]","[928, 17.412710452971425]"
"[98, 47.185915530428055]","[96, 45.240858678779084]","[97, 40.774502922286345]","[95, 40.01290334563208]","[969, 38.44054347827948]","[99, 36.68759773731602]","[91, 36.400533625728976]","[9, 35.84319266871312]","[919, 32.48508763965723]","[94, 32.44976753146449]"
"[98, 49.51807676989536]","[96, 46.16689349097365]","[95, 39.39298807927019]","[97, 38.86247374587496]","[9, 38.78402218630398]","[92, 37.232256619268064]","[91, 35.76423801699554]","[959, 34.965214431050086]","[93, 34.44406716266931]","[969, 34.426992812714666]"
"[98, 32.41963167874092]","[9, 31.19102264911423]","[96, 30.97181934742605]","[97, 28.80489644416083]","[95, 27.50075917710146]","[99, 26.924836244434644]","[91, 26.769811906145634]","[92, 25.905689000161303]","[919, 25.784381816240828]","[963, 25.73357993618402]"
"[98, 54.039305073641415]","[96, 49.0531069009315]","[97, 47.46494732984136]","[9, 46.92393483506001]","[92, 43.794141906894964]","[99, 43.651378571629095]","[95, 43.27712405189972]","[969, 43.11662457265569]","[919, 41.6775250737606]","[91, 41.661359129379285]"
"[98, 41.12354451518494]","[93, 37.42991789436067]","[96, 36.268302178005186]","[9, 35.62009236268413]","[924, 33.7817691047937]","[919, 32.88089453726088]","[95, 31.210563919178618]","[928, 30.283021714176847]","[97, 29.43202391997564]","[993, 28.61555851448127]"
"[98, 48.605087348094955]","[96, 43.18128530167838]","[97, 40.70962784105954]","[969, 40.186214269475485]","[95, 39.752514708184435]","[91, 39.410394899758685]","[9, 39.335306312532644]","[99, 37.5953763722353]","[92, 36.052574977147174]","[919, 35.099138389138]"
"[98, 38.14545326683231]","[9, 36.739477044887956]","[93, 31.966473206875012]","[99, 31.456325607192646]","[97, 31.28242849169158]","[963, 31.094024317420427]","[96, 30.456037376631308]","[91, 28.987677707518365]","[919, 27.961049285778255]","[92, 27.364576933610163]"
"[98, 41.15121292478394]","[96, 39.09524189060676]","[9, 38.65655939821986]","[963, 35.06041011182771]","[92, 34.412691752657096]","[919, 34.23544054725464]","[95, 33.47972346656456]","[97, 33.33233589210024]","[969, 33.084152114175026]","[93, 32.681314257831154]"
"[97, 48.145780339945375]","[98, 47.78379625331798]","[96, 44.12594341380241]","[9, 43.80247631232192]","[99, 42.89148990677401]","[969, 40.79968557311905]","[91, 38.57106772110285]","[95, 38.311429722745935]","[963, 37.373823286543676]","[92, 35.97932139915812]"
"[9, 38.990499723423476]","[98, 38.92669481658766]","[96, 35.31281086509848]","[99, 34.38146219333912]","[97, 34.01896622188273]","[93, 33.90258756261876]","[963, 32.73204377739021]","[923, 32.4530453705643]","[919, 32.4324080322745]","[945, 31.982119891659863]"
"[98, 16.511261799652555]","[9, 15.69401917588009]","[96, 15.183392709077284]","[93, 12.788123840158713]","[984, 12.268366358796367]","[95, 11.75494657684758]","[928, 11.569379488906277]","[988, 11.556712623926837]","[937, 11.314614407524534]","[993, 11.153245658587789]"
"[98, 53.12421474054413]","[96, 48.505993353803106]","[95, 42.837974034271184]","[9, 42.129884282974274]","[97, 41.8774007522974]","[969, 40.591708890786286]","[92, 40.52317579038475]","[91, 40.351159089861525]","[99, 38.80584552627117]","[959, 37.71079381491914]"
"[9, 21.32091597936988]","[98, 19.585082072145685]","[988, 17.772600831802794]","[96, 17.216352261156814]","[937, 16.442474807312394]","[93, 14.595703734226829]","[919, 14.313485791741101]","[95, 13.622381977432603]","[902, 13.410772931095206]","[924, 12.997086198197266]"
"[98, 52.14158515143466]","[96, 47.49673957463318]","[9, 45.60050500240957]","[97, 42.799847857004785]","[95, 42.07730886334846]","[92, 40.65160650547719]","[93, 40.34985555992277]","[91, 39.50662587893281]","[99, 38.968881304771394]","[959, 38.95934240154079]"
"[9, 23.2323440111757]","[98, 22.481505107163198]","[96, 20.350387487396883]","[95, 19.46018180487891]","[924, 17.99826922427821]","[993, 17.97831495182761]","[93, 17.86575059759172]","[902, 17.596457052820163]","[937, 17.480207690552287]","[97, 17.080571269127947]"
"[98, 42.682424905558655]","[9, 41.01079189389461]","[97, 39.865126391596775]","[96, 37.706360048614684]","[92, 36.18069489089741]","[963, 35.84975441652193]","[919, 35.78823168333591]","[99, 35.236397072106705]","[95, 34.68960825452693]","[93, 34.27677055205199]"
"[9, 27.078902970943062]","[93, 20.098761098186497]","[98, 18.850179567855584]","[919, 15.82084510726234]","[96, 15.254099279335017]","[924, 15.00355531550245]","[95, 14.896704650594913]","[936, 14.679240648320086]","[993, 13.680148499207341]","[900, 13.587541285762658]"
"[98, 41.383863013770316]","[96, 36.59513607301774]","[91, 35.79498785049605]","[99, 34.996539958819774]","[9, 34.478000936452126]","[969, 34.238611368846485]","[97, 34.011643911786344]","[95, 33.537523648571074]","[919, 31.418429863536385]","[92, 29.43170097236849]"
"[98, 56.77597219190263]","[97, 50.28511447291725]","[96, 48.906769171341885]","[9, 46.68157833062944]","[99, 45.116650318161206]","[91, 44.908936562092386]","[969, 43.627188526127895]","[963, 43.60837339123173]","[92, 42.82846552453516]","[919, 41.86502499443394]"
"[9, 20.6813610951151]","[937, 18.61027556418276]","[98, 14.343477726575527]","[902, 13.830140372505555]","[900, 13.573527433811615]","[93, 13.458813944877878]","[989, 13.154754328310297]","[984, 12.210786497252943]","[96, 12.198716378375273]","[990, 12.169611704367137]"
"[9, 17.349346690613558]","[98, 16.64189134943321]","[96, 14.205660037308117]","[93, 13.339843052886957]","[97, 12.374597170224968]","[95, 12.135454364372466]","[919, 10.95033155315997]","[993, 10.817430964097296]","[924, 10.496051351748603]","[988, 9.992786288989072]"
"[98, 49.34620509632532]","[9, 43.156432966687994]","[97, 42.959253439886254]","[96, 41.335249569802535]","[91, 39.9329085723532]","[99, 39.541686944035085]","[969, 38.595463799293036]","[92, 37.609811307571675]","[95, 35.601501385167424]","[94, 35.503195692624594]"
"[98, 42.179982555175286]","[97, 40.211091531421324]","[9, 38.4039372904536]","[99, 38.28653866222067]","[96, 37.760560491292296]","[91, 33.89700539899967]","[945, 32.90438100952416]","[923, 32.375467094815455]","[95, 31.007817879093658]","[969, 30.518005083017506]"
"[98, 53.88622890261018]","[97, 48.07490880889064]","[96, 47.04825447173338]","[99, 44.8477199476911]","[969, 43.674737943900126]","[9, 43.64552232752127]","[91, 42.023279154521965]","[95, 40.953190967190785]","[92, 39.02287351970689]","[963, 38.994421140329976]"
"[98, 42.72240038221155]","[96, 40.699267290328194]","[95, 37.84830040014986]","[97, 36.09852295675705]","[91, 33.00433892401772]","[99, 32.76226476807119]","[9, 32.436145308873975]","[969, 32.134595250633375]","[924, 30.374311988520425]","[928, 29.79989769818104]"
"[98, 31.489539803279758]","[9, 29.625802173514437]","[96, 26.200956629696112]","[97, 26.133639450923106]","[91, 26.02869589271502]","[92, 25.720380355057898]","[963, 25.41184148783367]","[99, 25.195819182594082]","[919, 25.084753760371356]","[93, 24.498944076132062]"
"[98, 35.004228031569085]","[9, 31.391142531994316]","[97, 30.22228532491224]","[96, 28.149909766652282]","[963, 27.683939549555088]","[923, 27.392022795408597]","[95, 26.164336767893477]","[99, 25.93669929122158]","[93, 25.438652675411742]","[91, 25.200394264756472]"
"[98, 18.381168292164226]","[9, 17.858550939892293]","[902, 17.714772316453868]","[96, 16.879126167427543]","[937, 14.662202033428999]","[95, 13.860271708953965]","[993, 12.8898262152023]","[97, 12.432862293629524]","[924, 12.35835412006374]","[93, 12.2730530576994]"
"[98, 39.720218639514705]","[96, 35.8617975469291]","[97, 35.55796866049866]","[9, 34.20038823460589]","[95, 32.84424421091316]","[969, 32.38005780275835]","[99, 32.338787204668606]","[963, 30.017351588667193]","[91, 29.850368535452393]","[92, 29.729775016553713]"
"[9, 19.96706253666806]","[902, 18.80077455083441]","[900, 18.576863741564043]","[98, 18.00576083272971]","[96, 17.4440000185988]","[937, 16.848206552320047]","[93, 14.376941373128844]","[95, 14.176551044627324]","[919, 13.56206082214551]","[92, 12.341160807435614]"
"[96, 40.96601269216059]","[98, 40.201511667388054]","[95, 35.06462621199867]","[97, 32.79189601857367]","[92, 31.71550227530129]","[99, 29.20923966382791]","[9, 28.738688487528236]","[91, 28.46529500409992]","[969, 27.952288680288316]","[919, 27.920180303909152]"
"[9, 37.98466637092302]","[98, 36.96333962066293]","[97, 36.534533196640176]","[96, 32.91279427643461]","[99, 32.60622171137022]","[923, 31.493662083381054]","[963, 30.340271212979168]","[945, 29.45574051249874]","[91, 29.070936164396453]","[956, 28.727796857600556]"
"[98, 26.03543885816856]","[9, 24.624931387107534]","[96, 22.73595044168958]","[99, 21.742006783952235]","[97, 21.720313806184997]","[95, 20.992398999297528]","[963, 20.7599576207357]","[92, 20.399068668500668]","[919, 18.94346565257329]","[93, 18.807143924033234]"
